OTU_ID	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
9b9f4504a5f58eee366ec161fdd72b7d	281.0	10990.0	0.0	31123.0	36326.0	355.0	3676.0	55831.0	69061.0	39111.0	17988.0	28878.0	9144.0	11559.0	0.0	7949.0	24267.0	10873.0	13250.0	6200.0	23551.0	12244.0	17149.0	17337.0	35612.0	103727.0	65057.0	377.0	1194.0	26675.0	4093.0	7517.0	571.0	1488.0	1376.0	6064.0	440.0	0.0	3889.0	5175.0	0.0	0.0	4159.0	0.0	10883.0	10129.0	11289.0	10754.0	9040.0	56169.0	56546.0	13906.0	0.0	537.0	798.0	837.0	768.0	335.0	700.0	703.0	4934.0	691.0	1372.0	347.0	287.0	8397.0	8341.0	0.0	1128.0	43343.0	0.0	41068.0	11301.0	1045.0	2784.0	1688.0	2114.0	4372.0	516.0	7008.0	22969.0	2834.0	10801.0	0.0	8977.0	0.0	1511.0	773.0	8977.0	7020.0	2734.0	1785.0	8612.0	2388.0	3105.0	4815.0	10226.0	31870.0	12210.0	32383.0	19494.0	270.0	9271.0	4179.0	2438.0	740.0	16203.0	2404.0	4513.0	2315.0	0.0	18143.0	7124.0	11094.0	323.0	29786.0	11194.0	5617.0	3477.0	6205.0	3816.0	3631.0	1595.0	6583.0	34222.0	10080.0	0.0	21270.0	61124.0	89330.0	57082.0
fcbbf6edb55bd2da1cdd7eef96d76cd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	956229.0	0.0	0.0	0.0	0.0	0.0	0.0	1069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2159b4d916f68a9f4bef241878a4e409	0.0	1766.0	0.0	261.0	241.0	0.0	1227.0	0.0	191.0	278.0	845.0	207.0	12287.0	763.0	0.0	269.0	0.0	127.0	0.0	312.0	350.0	551.0	0.0	0.0	153.0	329.0	272.0	0.0	191.0	876.0	447.0	2124.0	590.0	161.0	148.0	0.0	2453.0	8356.0	4568.0	41022.0	316.0	0.0	0.0	319.0	10027.0	691.0	4685.0	2674.0	1743.0	756.0	291.0	116.0	230.0	3165.0	215.0	2530.0	762.0	0.0	151.0	407.0	617.0	12673.0	11471.0	5051.0	213.0	56305.0	21279.0	0.0	4049.0	22051.0	407.0	1090.0	30149.0	3666.0	6267.0	5185.0	5126.0	9221.0	1426.0	2378.0	5378.0	1529.0	2469.0	3456.0	1430.0	0.0	987.0	1229.0	8496.0	1562.0	2158.0	730.0	2964.0	1354.0	4257.0	246.0	105.0	255.0	172.0	141.0	8617.0	114.0	1825.0	2325.0	11325.0	1014.0	3259.0	2508.0	4665.0	2898.0	419.0	1761.0	16096.0	26515.0	6708.0	1072.0	10548.0	3431.0	8530.0	3036.0	4891.0	27862.0	20234.0	0.0	257.0	0.0	0.0	1427.0	289.0	435.0	423.0
f016abbbb40357236a20009be30bbe9b	33.0	201.0	0.0	239.0	210.0	57.0	82.0	0.0	318.0	1847.0	2791.0	1993.0	1778.0	3958.0	0.0	4067.0	58579.0	44603.0	32758.0	2611.0	17297.0	261.0	140.0	24160.0	192.0	547.0	382.0	0.0	213.0	363.0	418.0	200.0	271.0	269.0	229.0	0.0	97.0	0.0	826.0	462.0	9826.0	3990.0	4199.0	4270.0	170.0	671.0	509.0	425.0	7460.0	4038.0	14800.0	3640.0	0.0	170.0	18298.0	201.0	178.0	0.0	42.0	180.0	163.0	353.0	435.0	498.0	83.0	0.0	246.0	0.0	144.0	320.0	0.0	447.0	348.0	0.0	309.0	473.0	4231.0	1620.0	0.0	890.0	4256.0	3621.0	1206.0	3428.0	185.0	0.0	3248.0	1777.0	454.0	584.0	290.0	206.0	1674.0	715.0	533.0	305.0	106.0	228.0	6323.0	317.0	359.0	0.0	0.0	266.0	175.0	48.0	805.0	291.0	499.0	106.0	0.0	0.0	335.0	590.0	77.0	398.0	382.0	0.0	285.0	5067.0	2182.0	4391.0	1970.0	6121.0	61673.0	30258.0	38256.0	135.0	307.0	533.0	387.0
d823bdb0ef91331c5b8f40a03282ba3f	105.0	784.0	0.0	893.0	509.0	152.0	1268.0	0.0	335.0	380.0	402.0	378.0	381.0	345.0	215.0	1591.0	554.0	349.0	0.0	1096.0	8510.0	8953.0	321.0	0.0	244.0	962.0	402.0	0.0	314.0	3808.0	7712.0	13082.0	374.0	348.0	4688.0	12258.0	221.0	4778.0	0.0	317.0	401.0	227.0	260.0	364.0	10027.0	5400.0	49128.0	23563.0	425.0	358.0	541.0	191.0	169.0	193.0	598.0	456.0	214.0	0.0	283.0	230.0	11514.0	3637.0	227.0	183.0	86.0	11704.0	13990.0	340.0	23726.0	5053.0	0.0	720.0	28494.0	1643.0	2992.0	1630.0	7918.0	704.0	825.0	1489.0	5443.0	603.0	1317.0	9094.0	2751.0	0.0	4123.0	4279.0	924.0	2999.0	3462.0	1356.0	417.0	292.0	357.0	3496.0	377.0	264.0	1023.0	314.0	4322.0	0.0	3821.0	3924.0	1288.0	818.0	1108.0	579.0	729.0	321.0	639.0	2533.0	2012.0	5606.0	939.0	6986.0	4214.0	4751.0	3815.0	3188.0	3660.0	6346.0	2195.0	0.0	387.0	0.0	0.0	1297.0	442.0	785.0	608.0
d0f414dee4b37c56004e284218162d94	98.0	935.0	0.0	241.0	272.0	91.0	447.0	0.0	371.0	325.0	509.0	290.0	1075.0	0.0	0.0	1242.0	386.0	326.0	0.0	799.0	281.0	3693.0	0.0	0.0	239.0	728.0	656.0	100.0	246.0	380.0	0.0	570.0	347.0	377.0	247.0	0.0	109.0	3589.0	0.0	8770.0	349.0	295.0	547.0	1272.0	256.0	3571.0	1185.0	2609.0	331.0	925.0	665.0	213.0	0.0	3147.0	1054.0	98.0	15232.0	116.0	142.0	9400.0	4703.0	21423.0	1006.0	6784.0	10676.0	508.0	832.0	0.0	246.0	897.0	270.0	643.0	512.0	0.0	4996.0	20317.0	23957.0	7294.0	96.0	451.0	7433.0	316.0	760.0	415.0	1324.0	0.0	237.0	210.0	16358.0	8962.0	23290.0	5085.0	12884.0	12694.0	20450.0	1618.0	142.0	318.0	222.0	274.0	330.0	38.0	8492.0	3862.0	1846.0	670.0	11968.0	1069.0	1835.0	767.0	0.0	459.0	8432.0	1109.0	101.0	4054.0	12538.0	2826.0	6345.0	6292.0	5456.0	3465.0	2598.0	0.0	398.0	0.0	0.0	196.0	843.0	2408.0	1462.0
39c289f6267289e4d9852dc2f9d6ebd2	0.0	158.0	0.0	310.0	608.0	1336.0	336.0	2870.0	510.0	524.0	379.0	366.0	387.0	388.0	161.0	854.0	451.0	500.0	0.0	579.0	282.0	2896.0	179.0	0.0	337.0	780.0	386.0	0.0	26651.0	5855.0	5747.0	3531.0	342.0	56945.0	26593.0	16867.0	155.0	0.0	239.0	298.0	550.0	686.0	605.0	436.0	230.0	1188.0	667.0	2624.0	0.0	582.0	2193.0	157.0	0.0	5768.0	1914.0	10537.0	4331.0	100.0	263.0	5808.0	3633.0	138.0	294.0	170.0	3341.0	1189.0	900.0	181.0	167.0	2897.0	20384.0	402.0	3291.0	4603.0	323.0	353.0	407.0	730.0	2188.0	25040.0	460.0	192.0	221.0	3346.0	4215.0	0.0	1074.0	1970.0	1005.0	384.0	483.0	219.0	384.0	2268.0	898.0	981.0	250.0	1964.0	6105.0	7044.0	3170.0	0.0	5634.0	0.0	1235.0	75.0	326.0	0.0	223.0	154.0	0.0	362.0	387.0	613.0	47.0	8936.0	5602.0	854.0	338.0	1647.0	353.0	735.0	876.0	0.0	428.0	4931.0	0.0	208.0	482.0	852.0	841.0
44aaf787b0b2c4bdfccf8f3ec0f2310b	66.0	91.0	0.0	73.0	93.0	109.0	2878.0	0.0	127.0	0.0	2268.0	136.0	12060.0	290.0	0.0	44.0	203.0	0.0	0.0	201.0	88.0	85.0	69.0	0.0	153.0	198.0	191.0	0.0	0.0	234.0	0.0	109.0	164.0	107.0	1005.0	13336.0	494.0	2214.0	3552.0	30442.0	128.0	0.0	1756.0	399.0	214.0	0.0	0.0	0.0	323.0	153.0	209.0	86.0	113.0	4341.0	0.0	59.0	31015.0	66.0	110.0	20786.0	83.0	89.0	0.0	44.0	3632.0	0.0	348.0	0.0	2717.0	183.0	0.0	0.0	186.0	114.0	33941.0	325.0	1253.0	240.0	78.0	0.0	1543.0	3299.0	1474.0	0.0	1584.0	0.0	236.0	158.0	179.0	195.0	155.0	98.0	728.0	995.0	3738.0	68.0	4091.0	524.0	78.0	224.0	104.0	0.0	625.0	2044.0	7452.0	6913.0	125.0	380.0	279.0	2143.0	0.0	190.0	13679.0	2217.0	186.0	844.0	7576.0	7653.0	46133.0	223.0	161.0	693.0	6001.0	0.0	233.0	0.0	0.0	761.0	126.0	364.0	696.0
be057a6d8390bb6e9d248b52beccb7aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269312.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76e97ad6e81e248d45df86a8febd18dc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252942.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
