CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects.mL,Objects.cm2,gDNA.well,gDNA.plate,spore_density,hyphae_length,rich16s,cshan16s,richITS,cshanITS,16sreads,ITSreads
1.T0,1,MDF,2,0,Cntrl,Wet,Medium Density Fiberboard,NA,0.1,MDF,WET,NA,NA,F1,7,NA,NA,11,2.227,18,2.331,2101,909
1.T1,1,MDF,496,7,0,Wet,Medium Density Fiberboard,NA,1.1,MDF,WET,4148000,41480,A1,1,406.669,0,60,4.009,36,1.709,4983,22450
1.T2,1,MDF,1453,21,1,Wet,Medium Density Fiberboard,NA,3.1,MDF,WET,47824000,478240,A1,3,1044.27,2205.881,10,2.167,2,0.497,809,20201
1.T3,1,MDF,1,35,NA,Wet,Medium Density Fiberboard,NA,5.1,MDF,WET,15494000,154940,A1,5,603.201,656.09,25,3.076,49,1.433,2663,50417
1.T4,1,MDF,85,49,NA,Wet,Medium Density Fiberboard,NA,7.1,MDF,WET,34282000,342820,A1,7,299.874,2046.099,26,2.281,44,0.809,16645,44303
10.T1,10,MDF,257,7,0,Wet,Medium Density Fiberboard,NA,1.1,MDF,WET,NA,NA,A10,1,NA,NA,2,0.703,NA,NA,46,NA
10.T2,10,MDF,8226,21,1,Wet,Medium Density Fiberboard,NA,3.1,MDF,WET,NA,NA,A10,3,NA,NA,5,1.42,NA,NA,149,NA
10.T3,10,MDF,2097,35,NA,Wet,Medium Density Fiberboard,NA,5.1,MDF,WET,NA,NA,A10,5,NA,NA,26,2.827,NA,NA,8477,NA
10.T4,10,MDF,1578,49,NA,Wet,Medium Density Fiberboard,NA,7.1,MDF,WET,NA,NA,A10,7,NA,NA,14,2.529,NA,NA,10507,NA
11.T0,11,MDF,5,0,Cntrl,Cycling,Medium Density Fiberboard,NA,0.3,MDF,CYC,NA,NA,F3,7,NA,NA,9,1.995,19,1.85,1618,2580
11.T1,11,MDF,154,7,0,Cycling,Medium Density Fiberboard,NA,1.11,MDF,CYC,1159000,11590,A11,1,223.641,0,10,2.15,40,3.005,1073,23620
11.T2,11,MDF,87,21,1,Cycling,Medium Density Fiberboard,NA,3.11,MDF,CYC,10187000,101870,A11,3,423.7737,155.195,5,1.487,16,0.385,114,60539
11.T3,11,MDF,1962,35,NA,Cycling,Medium Density Fiberboard,NA,5.11,MDF,CYC,9760000,97600,A11,5,418.102,0,4,1.257,52,0.399,329,73230
11.T4,11,MDF,1606,49,NA,Cycling,Medium Density Fiberboard,NA,7.11,MDF,CYC,18521818,185218.2,A11,7,226.515,99.24,NA,NA,36,0.606,NA,NA
12.T1,12,MDF,336,7,0,Cycling,Medium Density Fiberboard,NA,1.12,MDF,CYC,NA,NA,A12,1,NA,NA,91,4.233,NA,NA,31096,NA
12.T2,12,MDF,9494,21,1,Cycling,Medium Density Fiberboard,NA,3.12,MDF,CYC,NA,NA,A12,3,NA,NA,11,2.215,NA,NA,944,NA
